Users,Total pulls,Pull number,MoC,PF,Female,HP,ATK,DEF,SPEED,Banner count,Legendary chance,Win percent,PHYSICAL,FIRE,ICE,LIGHTNING,WIND,QUANTUM,DESTRUCTION,HUNT,ERUDITION,HARMONY,NIHILITY,PRESERVATION
253897,15979091,77,9.5,7,0,168.96,95.04,49.5,102,1,0.24609202,0.5859987511274544,0,0,0,0,0,0,1,0,0,0,0,0
253897,15979091,78,9.5,7,0,168.96,95.04,49.5,102,1,0.3021181,0.5859987511274544,0,0,0,0,0,0,1,0,0,0,0,0
253897,15979091,79,9.5,7,0,168.96,95.04,49.5,102,1,0.35695785,0.5859987511274544,0,0,0,0,0,0,1,0,0,0,0,0
253897,15979091,80,9.5,7,0,168.96,95.04,49.5,102,1,0.4160332,0.5859987511274544,0,0,0,0,0,0,1,0,0,0,0,0
253897,15979091,81,9.5,7,0,168.96,95.04,49.5,102,1,0.46999094,0.5859987511274544,0,0,0,0,0,0,1,0,0,0,0,0
253897,15979091,82,9.5,7,0,168.96,95.04,49.5,102,1,0.5052212,0.5859987511274544,0,0,0,0,0,0,1,0,0,0,0,0
253897,15979091,83,9.5,7,0,168.96,95.04,49.5,102,1,0.5423403,0.5859987511274544,0,0,0,0,0,0,1,0,0,0,0,0
253897,15979091,90,9.5,7,0,168.96,95.04,49.5,102,1,1.0,0.5859987511274544,0,0,0,0,0,0,1,0,0,0,0,0
90135,4147872,74,9.5,7,0,168.96,95.04,49.5,102,2,0.06454482,0.5853401111446173,0,0,0,0,0,0,1,0,0,0,0,0
90135,4147872,75,9.5,7,0,168.96,95.04,49.5,102,2,0.12625448,0.5853401111446173,0,0,0,0,0,0,1,0,0,0,0,0
90135,4147872,76,9.5,7,0,168.96,95.04,49.5,102,2,0.1850695,0.5853401111446173,0,0,0,0,0,0,1,0,0,0,0,0
90135,4147872,77,9.5,7,0,168.96,95.04,49.5,102,2,0.24475554,0.5853401111446173,0,0,0,0,0,0,1,0,0,0,0,0
90135,4147872,78,9.5,7,0,168.96,95.04,49.5,102,2,0.29967391,0.5853401111446173,0,0,0,0,0,0,1,0,0,0,0,0
90135,4147872,79,9.5,7,0,168.96,95.04,49.5,102,2,0.36582023,0.5853401111446173,0,0,0,0,0,0,1,0,0,0,0,0
90135,4147872,80,9.5,7,0,168.96,95.04,49.5,102,2,0.41851005,0.5853401111446173,0,0,0,0,0,0,1,0,0,0,0,0
90135,4147872,81,9.5,7,0,168.96,95.04,49.5,102,2,0.47819418,0.5853401111446173,0,0,0,0,0,0,1,0,0,0,0,0
90135,4147872,82,9.5,7,0,168.96,95.04,49.5,102,2,0.55293125,0.5853401111446173,0,0,0,0,0,0,1,0,0,0,0,0
90135,4147872,83,9.5,7,0,168.96,95.04,49.5,102,2,0.56980056,0.5853401111446173,0,0,0,0,0,0,1,0,0,0,0,0
